entry_time,exit_time,symbol,option_symbol,direction,entry_price,exit_price,size_contracts,size_dollars,sl,tp,pnl,pnl_percent,dte,model,prediction,tags
2025-02-26 14:30:00+00:00,2025-02-26 16:30:00+00:00,SPY_C_593.0_2025-02-26,N/A,LONG,5.44000244140625,5.5999755859375,36,195.840087890625,0.0,0.0,5.759033203125,0.029406814841409643,0,N/A,N/A,backtest
2025-02-27 14:30:00+00:00,2025-02-27 16:30:00+00:00,SPY_P_590.0_2025-02-27,N/A,LONG,0.5,0.0,402,201.0,0.0,0.0,-201.0,-1.0,0,N/A,N/A,backtest
2025-02-28 14:30:00+00:00,2025-02-28 16:30:00+00:00,SPY_P_583.0_2025-02-28,N/A,LONG,0.5,0.0,321,160.5,0.0,0.0,-160.5,-1.0,0,N/A,N/A,backtest
2025-03-03 14:30:00+00:00,2025-03-03 16:30:00+00:00,SPY_P_589.0_2025-03-03,N/A,LONG,0.5,0.0,257,128.5,0.0,0.0,-128.5,-1.0,0,N/A,N/A,backtest
2025-03-04 14:30:00+00:00,2025-03-04 16:30:00+00:00,SPY_P_570.0_2025-03-04,N/A,LONG,0.5,0.0,206,103.0,0.0,0.0,-103.0,-1.0,0,N/A,N/A,backtest
2025-03-05 14:30:00+00:00,2025-03-05 16:30:00+00:00,SPY_P_572.0_2025-03-05,N/A,LONG,0.5,0.0,165,82.5,0.0,0.0,-82.5,-1.0,0,N/A,N/A,backtest
2025-03-06 14:30:00+00:00,2025-03-06 16:30:00+00:00,SPY_P_574.0_2025-03-06,N/A,LONG,0.5,1.45001220703125,132,66.0,0.0,0.0,125.401611328125,1.9000244140625,0,N/A,N/A,backtest
2025-03-07 14:30:00+00:00,2025-03-07 16:30:00+00:00,SPY_P_568.0_2025-03-07,N/A,LONG,0.5,0.0,182,91.0,0.0,0.0,-91.0,-1.0,0,N/A,N/A,backtest
2025-03-10 14:30:00+00:00,2025-03-10 16:30:00+00:00,SPY_P_561.0_2025-03-10,N/A,LONG,0.5,0.0,145,72.5,0.0,0.0,-72.5,-1.0,0,N/A,N/A,backtest
2025-03-11 14:30:00+00:00,2025-03-11 16:30:00+00:00,SPY_P_554.0_2025-03-11,N/A,LONG,0.5,1.79998779296875,116,58.0,0.0,0.0,150.798583984375,2.5999755859375,0,N/A,N/A,backtest
2025-03-12 14:30:00+00:00,2025-03-12 16:30:00+00:00,SPY_C_554.0_2025-03-12,N/A,LONG,3.4000244140625,7.41998291015625,26,88.400634765625,0.0,0.0,104.5189208984375,1.182332244282483,0,N/A,N/A,backtest
2025-03-13 14:30:00+00:00,2025-03-13 16:30:00+00:00,SPY_P_551.0_2025-03-13,N/A,LONG,0.5,0.0,218,109.0,0.0,0.0,-109.0,-1.0,0,N/A,N/A,backtest
2025-03-14 14:30:00+00:00,2025-03-14 16:30:00+00:00,SPY_P_557.0_2025-03-14,N/A,LONG,0.5,0.0,175,87.5,0.0,0.0,-87.5,-1.0,0,N/A,N/A,backtest
2025-03-17 14:30:00+00:00,2025-03-17 16:30:00+00:00,SPY_C_560.0_2025-03-17,N/A,LONG,4.6500244140625,5.80999755859375,15,69.7503662109375,0.0,0.0,17.39959716796875,0.24945528049772925,0,N/A,N/A,backtest
