timestamp,symbol,option_symbol,direction,entry_price,exit_price,size_contracts,size_dollars,sl,tp,pnl,pnl_percent,dte,model,prediction,tags
2025-02-26 16:30:00+00:00,tsla_C_295.0_2025-02-26,N/A,LONG,0.75,5.67999267578125,266,199.5,0.0,0.0,1311.3780517578125,6.573323567708333,0,N/A,N/A,backtest
2025-02-27 15:30:00+00:00,tsla_P_293.0_2025-02-27,N/A,LONG,0.5,5.100006103515625,924,462.0,0.0,0.0,4250.4056396484375,9.20001220703125,0,N/A,N/A,backtest
2025-02-27 16:30:00+00:00,tsla_P_288.0_2025-02-27,N/A,LONG,0.5,2.04998779296875,2624,1312.0,0.0,0.0,4067.16796875,3.0999755859375,0,N/A,N/A,backtest
2025-02-28 16:30:00+00:00,tsla_P_292.0_2025-02-28,N/A,LONG,0.5,1.730010986328125,4251,2125.5,0.0,0.0,5228.776702880859,2.46002197265625,0,N/A,N/A,backtest
2025-03-03 16:30:00+00:00,tsla_P_300.0_2025-03-03,N/A,LONG,0.5,1.519989013671875,6343,3171.5,0.0,0.0,6469.790313720703,2.03997802734375,0,N/A,N/A,backtest
2025-03-04 16:30:00+00:00,tsla_P_267.0_2025-03-04,N/A,LONG,1.8900146484375,0.0,2362,4464.214599609375,0.0,0.0,-4464.214599609375,-1.0,0,N/A,N/A,backtest
2025-03-05 16:30:00+00:00,tsla_C_272.0_2025-03-05,N/A,LONG,0.5,1.18670654296875,7145,3572.5,0.0,0.0,4906.518249511719,1.3734130859375,0,N/A,N/A,backtest
2025-03-06 16:30:00+00:00,tsla_P_272.0_2025-03-06,N/A,LONG,1.8074951171875,8.70001220703125,2519,4553.0802001953125,0.0,0.0,17362.250549316406,3.813297764570811,0,N/A,N/A,backtest
2025-03-07 16:30:00+00:00,tsla_C_262.0_2025-03-07,N/A,LONG,0.5,0.0,16052,8026.0,0.0,0.0,-8026.0,-1.0,0,N/A,N/A,backtest
2025-03-10 16:30:00+00:00,tsla_P_238.0_2025-03-10,N/A,LONG,0.5,10.949996948242188,12842,6421.0,0.0,0.0,134198.86080932617,20.899993896484375,0,N/A,N/A,backtest
2025-03-11 16:30:00+00:00,tsla_P_226.0_2025-03-11,N/A,LONG,0.5,2.19000244140625,66521,33260.5,0.0,0.0,112420.65240478516,3.3800048828125,0,N/A,N/A,backtest
2025-03-12 16:30:00+00:00,tsla_C_247.0_2025-03-12,N/A,LONG,0.5,3.239898681640625,111490,55745.0,0.0,0.0,305471.3040161133,5.47979736328125,0,N/A,N/A,backtest
2025-03-13 16:30:00+00:00,tsla_P_234.0_2025-03-13,N/A,LONG,0.5,0.0,233678,116839.0,0.0,0.0,-116839.0,-1.0,0,N/A,N/A,backtest
2025-03-14 16:30:00+00:00,tsla_P_251.0_2025-03-14,N/A,LONG,2.9049072265625,3.018798828125,32177,93471.19982910156,0.0,0.0,3664.6900634765625,0.03920662268353154,0,N/A,N/A,backtest
2025-03-17 16:30:00+00:00,tsla_C_223.0_2025-03-17,N/A,LONG,13.100006103515625,13.354995727539062,7191,94202.14389038086,0.0,0.0,1833.630386352539,0.019464847726674447,0,N/A,N/A,backtest
2025-03-18 16:30:00+00:00,tsla_P_226.0_2025-03-18,N/A,LONG,0.5,0.0,189142,94571.0,0.0,0.0,-94571.0,-1.0,0,N/A,N/A,backtest
2025-03-19 16:30:00+00:00,tsla_P_233.0_2025-03-19,N/A,LONG,0.5,0.0,151314,75657.0,0.0,0.0,-75657.0,-1.0,0,N/A,N/A,backtest
2025-03-20 16:30:00+00:00,tsla_P_232.0_2025-03-20,N/A,LONG,0.5,0.0,121051,60525.5,0.0,0.0,-60525.5,-1.0,0,N/A,N/A,backtest
2025-03-21 16:30:00+00:00,tsla_C_238.0_2025-03-21,N/A,LONG,2.75,7.3600006103515625,17607,48419.25,0.0,0.0,81168.28074645996,1.6763638583096592,0,N/A,N/A,backtest
2025-03-24 16:30:00+00:00,tsla_C_273.0_2025-03-24,N/A,LONG,0.5,1.040008544921875,129308,64654.0,0.0,0.0,69827.42492675781,1.08001708984375,0,N/A,N/A,backtest
2025-03-25 16:30:00+00:00,tsla_P_279.0_2025-03-25,N/A,LONG,1.42999267578125,1.755889892578125,54979,78619.56732177734,0.0,0.0,17917.50308227539,0.2279013188783132,0,N/A,N/A,backtest
2025-03-26 16:30:00+00:00,tsla_C_277.0_2025-03-26,N/A,LONG,0.5,0.0,164406,82203.0,0.0,0.0,-82203.0,-1.0,0,N/A,N/A,backtest
2025-03-27 16:30:00+00:00,tsla_P_287.0_2025-03-27,N/A,LONG,0.579986572265625,13.07000732421875,113386,65762.35748291016,0.0,0.0,1416193.492980957,21.535017100762957,0,N/A,N/A,backtest
2025-03-28 16:30:00+00:00,tsla_P_267.0_2025-03-28,N/A,LONG,1.643707275390625,3.720001220703125,212325,349000.14724731445,0.0,0.0,440849.11193847656,1.263177438220605,0,N/A,N/A,backtest
2025-03-31 16:30:00+00:00,tsla_C_253.0_2025-03-31,N/A,LONG,0.5,1.25,874342,437171.0,0.0,0.0,655756.5,1.5,0,N/A,N/A,backtest
2025-04-01 16:30:00+00:00,tsla_C_275.0_2025-04-01,N/A,LONG,0.5,0.0,1136644,568322.0,0.0,0.0,-568322.0,-1.0,0,N/A,N/A,backtest
2025-04-02 16:30:00+00:00,tsla_C_276.0_2025-04-02,N/A,LONG,0.5,7.579986572265625,909316,454658.0,0.0,0.0,6437945.069946289,14.15997314453125,0,N/A,N/A,backtest
2025-04-03 15:30:00+00:00,tsla_C_267.0_2025-04-03,N/A,LONG,0.5,4.3800048828125,3484494,1742247.0,0.0,0.0,13519853.73413086,7.760009765625,0,N/A,N/A,backtest
2025-04-03 16:30:00+00:00,tsla_P_272.0_2025-04-03,N/A,LONG,1.6199951171875,3.720001220703125,2744587,4446217.538696289,0.0,0.0,5763649.451629639,1.2963039710647275,0,N/A,N/A,backtest
2025-04-04 16:30:00+00:00,tsla_P_246.0_2025-04-04,N/A,LONG,2.75,4.98309326171875,2035980,5598945.0,0.0,0.0,4546533.218994141,0.8120339133522727,0,N/A,N/A,backtest
2025-04-07 16:30:00+00:00,tsla_C_224.0_2025-04-07,N/A,LONG,2.32000732421875,9.169906616210938,2805273,6508253.9064331055,0.0,0.0,19215837.5365448,2.9525334771513507,0,N/A,N/A,backtest
2025-04-08 16:30:00+00:00,tsla_P_231.0_2025-04-08,N/A,LONG,0.5,1.350006103515625,20702843,10351421.5,0.0,0.0,17597542.910125732,1.70001220703125,0,N/A,N/A,backtest
2025-04-09 16:30:00+00:00,tsla_C_229.0_2025-04-09,N/A,LONG,2.3000030517578125,17.273101806640625,6030831,13870929.70463562,0.0,0.0,90300228.13700867,6.5100342990586,0,N/A,N/A,backtest
2025-04-10 16:30:00+00:00,tsla_P_253.0_2025-04-10,N/A,LONG,2.24920654296875,7.149993896484375,14196551,31930975.39678955,0.0,0.0,69574277.6043396,2.178896095085615,0,N/A,N/A,backtest
2025-04-11 16:30:00+00:00,tsla_P_246.0_2025-04-11,N/A,LONG,2.600006103515625,0.475006103515625,17632970,45845829.62310791,0.0,0.0,-37470061.25,-0.8173057736774769,0,N/A,N/A,backtest
2025-04-14 16:30:00+00:00,tsla_P_251.0_2025-04-14,N/A,LONG,2.56500244140625,3.0099945068359375,14951962,38351819.03381348,0.0,0.0,6653504.452606201,0.17348602022605591,0,N/A,N/A,backtest
2025-04-15 16:30:00+00:00,tsla_C_257.0_2025-04-15,N/A,LONG,0.5,0.0,79365040,39682520.0,0.0,0.0,-39682520.0,-1.0,0,N/A,N/A,backtest
2025-04-16 16:30:00+00:00,tsla_P_253.0_2025-04-16,N/A,LONG,2.700103759765625,6.3800048828125,11757331,31746013.637908936,0.0,0.0,43265815.55093384,1.3628739672457248,0,N/A,N/A,backtest
2025-04-17 16:30:00+00:00,tsla_C_227.0_2025-04-17,N/A,LONG,12.949996948242188,12.343399047851562,3119628,40399173.07965088,0.0,0.0,-1892359.7947998047,-0.04684154774823817,0,N/A,N/A,backtest
2025-04-21 16:30:00+00:00,tsla_P_223.0_2025-04-21,N/A,LONG,0.5,0.0,80041414,40020707.0,0.0,0.0,-40020707.0,-1.0,0,N/A,N/A,backtest
2025-04-22 16:30:00+00:00,tsla_C_236.0_2025-04-22,N/A,LONG,2.6100006103515625,0.0,12266880,32016564.287109375,0.0,0.0,-32016564.287109375,-1.0,0,N/A,N/A,backtest
2025-04-23 16:30:00+00:00,tsla_P_257.0_2025-04-23,N/A,LONG,2.7512054443359375,1.0850067138671875,9309829,25613252.230636597,0.0,0.0,-15512025.260681152,-0.6056249757352901,0,N/A,N/A,backtest
